,Open,High,Low,Close,Volume
2025-03-11 11:40:00,220.64,221.45,220.59,221.2714,631419.0
2025-03-11 11:45:00,221.31,221.4471,220.86,221.324,430822.0
2025-03-11 11:50:00,221.315,221.5,220.94,221.395,381893.0
2025-03-11 11:55:00,221.395,221.74,220.96,221.1398,408396.0
2025-03-11 12:00:00,221.1,221.11,220.51,220.755,598644.0
2025-03-11 12:05:00,220.76,220.7851,220.09,220.2502,515517.0
2025-03-11 12:10:00,220.27,220.6,219.27,219.35,1289018.0
2025-03-11 12:15:00,219.36,219.63,218.67,219.615,1158099.0
2025-03-11 12:20:00,219.6,219.88,219.2,219.56,776079.0
2025-03-11 12:25:00,219.55,219.64,218.5,218.55,1008292.0
2025-03-11 12:30:00,218.54,219.0,218.44,218.67,790107.0
2025-03-11 12:35:00,218.6844,219.565,218.585,219.37,813400.0
2025-03-11 12:40:00,219.351,219.88,219.06,219.47,446961.0
2025-03-11 12:45:00,219.49,219.82,219.35,219.72,342741.0
2025-03-11 12:50:00,219.7063,219.73,218.5,218.88,523364.0
2025-03-11 12:55:00,218.865,219.12,218.52,219.0,460289.0
2025-03-11 13:00:00,218.97,219.06,218.56,218.7103,456690.0
2025-03-11 13:05:00,218.69,218.87,218.3712,218.78,497875.0
2025-03-11 13:10:00,218.785,218.91,218.4099,218.5231,397555.0
2025-03-11 13:15:00,218.53,218.99,218.47,218.6,533636.0
2025-03-11 13:20:00,218.6017,218.635,217.45,217.93,1448384.0
2025-03-11 13:25:00,217.95,218.05,217.58,217.73,557757.0
2025-03-11 13:30:00,217.73,218.34,217.68,218.16,564626.0
2025-03-11 13:35:00,218.16,218.4,218.02,218.285,479700.0
2025-03-11 13:40:00,218.3,218.93,218.26,218.87,428161.0
2025-03-11 13:45:00,218.86,219.43,218.75,219.2,484846.0
2025-03-11 13:50:00,219.21,219.53,218.87,218.95,479238.0
2025-03-11 13:55:00,218.95,218.98,217.945,218.29,732831.0
2025-03-11 14:00:00,218.3,219.69,218.26,219.54,663474.0
2025-03-11 14:05:00,219.58,220.37,219.1803,220.06,747260.0
2025-03-11 14:10:00,220.07,220.69,220.06,220.66,496459.0
2025-03-11 14:15:00,220.655,220.655,220.16,220.4,468016.0
2025-03-11 14:20:00,220.38,220.98,220.24,220.85,423835.0
2025-03-11 14:25:00,220.82,220.93,220.37,220.545,435490.0
2025-03-11 14:30:00,220.55,220.61,220.1078,220.24,453162.0
2025-03-11 14:35:00,220.26,220.73,220.09,220.67,333466.0
2025-03-11 14:40:00,220.665,221.85,220.57,221.76,806045.0
2025-03-11 14:45:00,221.79,222.04,221.32,221.99,712269.0
2025-03-11 14:50:00,221.99,222.7,218.2393,222.49,666680.0
2025-03-11 14:55:00,222.497,222.5605,221.84,222.165,553571.0
2025-03-11 15:00:00,222.18,222.2,221.37,222.15,623780.0
2025-03-11 15:05:00,222.15,223.31,222.13,222.96,1011582.0
2025-03-11 15:10:00,222.95,223.07,221.96,222.025,552006.0
2025-03-11 15:15:00,222.0,222.15,221.66,221.92,431216.0
2025-03-11 15:20:00,221.94,222.5,221.37,221.415,577895.0
2025-03-11 15:25:00,221.41,222.24,221.37,221.8,389377.0
2025-03-11 15:30:00,221.82,221.89,221.03,221.09,572794.0
2025-03-11 15:35:00,221.09,221.58,221.03,221.2133,742368.0
2025-03-11 15:40:00,221.2,221.42,220.58,221.3601,648232.0
2025-03-11 15:45:00,221.36,221.71,221.06,221.57,502797.0
2025-03-11 15:50:00,221.57,222.07,220.69,221.76,992427.0
2025-03-11 15:55:00,221.79,221.84,220.63,220.73,3115444.0
2025-03-11 16:00:00,220.73,221.4272,220.56,220.84,19435845.0
2025-03-11 16:05:00,220.84,220.86,220.5,220.8,777435.0
2025-03-11 16:10:00,220.86,220.86,220.71,220.86,34822.0
2025-03-11 16:15:00,220.8587,220.86,220.56,220.7,6010.0
2025-03-11 16:20:00,220.68,220.86,220.56,220.69,8815.0
2025-03-11 16:25:00,220.69,220.86,220.52,220.86,9213.0
2025-03-11 16:30:00,220.85,220.86,220.73,220.84,1711.0
2025-03-11 16:35:00,220.79,220.84,220.21,220.29,320343.0
2025-03-11 16:40:00,220.39,228.5506,212.3775,220.4,10694.0
2025-03-11 16:45:00,220.37,228.5506,219.5283,220.4,19158.0
2025-03-11 16:50:00,220.47,228.5506,213.7005,220.35,76189.0
2025-03-11 16:55:00,220.35,220.45,220.21,220.27,8807.0
2025-03-11 17:00:00,220.4188,220.42,220.26,220.38,1607.0
2025-03-11 17:05:00,220.38,220.68,220.3,220.54,3744.0
2025-03-11 17:10:00,220.48,220.84,220.3,220.5,1628244.0
2025-03-11 17:15:00,220.5,220.5,220.3,220.4,2239.0
2025-03-11 17:20:00,220.4098,220.83,220.35,220.53,3880.0
2025-03-11 17:25:00,220.54,220.83,220.5,220.529,6380.0
2025-03-11 17:30:00,220.53,220.59,220.26,220.36,4658.0
2025-03-11 17:35:00,220.37,220.55,220.3,220.53,3405.0
2025-03-11 17:40:00,220.54,220.55,220.33,220.5,2451.0
2025-03-11 17:45:00,220.5,220.64,220.33,220.56,1869.0
2025-03-11 17:50:00,220.59,220.66,220.3603,220.56,4493.0
2025-03-11 17:55:00,220.56,220.66,220.34,220.57,2087.0
2025-03-11 18:00:00,220.5,220.95,220.25,220.6,7335.0
2025-03-11 18:05:00,220.38,220.88,220.38,220.6,4119.0
2025-03-11 18:10:00,220.62,221.25,220.49,221.0,4766.0
2025-03-11 18:15:00,220.5675,221.25,220.36,220.6232,1103.0
2025-03-11 18:20:00,220.99,221.0,220.53,220.77,957.0
2025-03-11 18:25:00,220.99,220.99,220.33,220.83,2185.0
2025-03-11 18:30:00,220.83,220.97,220.7,220.73,2329.0
2025-03-11 18:35:00,220.97,221.21,220.7,221.2,2602.0
2025-03-11 18:40:00,221.06,221.21,220.9,221.05,1903.0
2025-03-11 18:45:00,221.02,221.21,220.9,221.2099,1161.0
2025-03-11 18:50:00,221.2,221.21,221.05,221.21,1459.0
2025-03-11 18:55:00,221.21,221.39,221.04,221.05,3232.0
2025-03-11 19:00:00,221.2082,221.39,220.8301,220.87,1997.0
2025-03-11 19:05:00,220.9,221.07,220.83,221.07,4280.0
2025-03-11 19:10:00,220.95,221.07,220.73,220.85,2245.0
2025-03-11 19:15:00,220.75,221.07,220.73,220.75,1613.0
2025-03-11 19:20:00,220.74,221.0,220.73,220.8,2515.0
2025-03-11 19:25:00,220.76,220.99,220.5,220.5,6531.0
2025-03-11 19:30:00,220.5001,220.84,220.5,220.7,3449.0
2025-03-11 19:35:00,220.695,220.7,220.51,220.7,1066.0
2025-03-11 19:40:00,220.67,220.7,220.52,220.65,1678.0
2025-03-11 19:45:00,220.78,220.78,220.65,220.75,1376.0
2025-03-11 19:50:00,220.7483,221.07,220.7101,221.0663,2311.0
2025-03-11 19:55:00,221.07,221.07,220.78,220.97,3294.0
